embedding_index,title,year,authors,venue,issn,doi,subjects,work_id,embedding_id,embedding_run,embedding_preview,abstract
10,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,2006,"zbMATH Open Web Interface contents unavailable due to conflicting licenses., zbMATH Open Web Interface contents unavailable due to conflicting licenses.",zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"1532-4125, 0092-7872",10.1080/00927870600938803,"17A32, 17B35, 17B50, 17B55",10.1080/00927870600938803,bae8e0a824d75f9c0e15bdc76b3d86f3b2dfd18d,no_msc_clean,"[-0.0783, -0.0331, -0.0100, -0.0125, -0.0623, -0.0193, -0.0145, 0.0009, ...] dimension=384","A Leibniz algebra over a field \(k\) is a \(k\)-module which admits a bilinear bracket map that satisfies the Leibniz identity: \([x,[y,z]] = [[x,y],z] - [[x,z],y]\). Any Lie algebra over \(k\) is also a Leibniz algebra. But in general, the bracket in the Leibniz case need not be anti-commutative as for a Lie algebra. Of interest here are Leibniz algebras over a field of prime characteristic \(p\). For Lie algebras over such a field, one can consider a \(p\)-restricted Lie algebra and the notion of a restricted module. Associated to such a Lie algebra is the restricted enveloping algebra which is a quotient of the universal enveloping algebra. Restricted modules are precisely modules for the restricted enveloping algebra. For Leibniz algebras, the notion of a \(p\)-restricted Leibniz algebra (and restricted Leibniz module) was introduced by \textit{A. S. Dzhumadil'daev} and \textit{S. A. Abdykassymova} [C. R. Acad. Sci., Paris, Sér. I Math. 332, 1047--1052 (2001; Zbl 1037.17003)]. The main goal of this paper is to develop an appropriate analogue of the restricted enveloping algebra.

The authors first show that any diassociative algebra admits the structure of a \(p\)-restricted Leibniz algebra. More precisely, there is a functor from the category of diassociative algebras to the category of \(p\)-restricted Leibniz algebras. They show that this functor admits a left adjoint by constructing for any \(p\)-restricted Leibniz algebra, a \textit{restricted universal diassociative algebra}. However, an alternate structure is needed to classify the restricted Leibniz modules. Given a restricted Leibniz algebra, the authors construct a \textit{restricted universal enveloping algebra} and show that the category of right modules over this algebra is equivalent to the category of restricted Leibniz modules (over that Leibniz algebra).

Finally, the authors consider the tensor product of a Leibniz algebra with a Zinbiel algebra (which is dual in a Koszul sense to the notion..."
11,Duality theory for covariant systems,1979,"Landstad, Magnus B.","Trans. Am. Math. Soc. 248, 223-267 (1979).","1088-6850, 0002-9947",10.2307/1998969,"46L05, 46L40, 46L10, 22D35, 22D25",10.2307/1998969,448db894dd5ac70c32c2ec2dd4262a2fb4e55aa2,no_msc_clean,"[-0.0534, -0.0286, 0.0014, -0.0312, -0.0697, 0.0876, 0.0854, 0.0056, ...] dimension=384","If (A,p,G) is a covariant system over a locally compact group G, i.e. p is a homomorphism from G into the group of '-automorphisms of an operator algebra A, there is a new operator algebra 21 called the covariance algebra associated with (A, p, G).If A is a von Neumann algebra and p is a-weakly continuous, Sf is defined such that it is a von Neumann algebra.If A is a C*-algebra and p is norm-continuous St will be a C*-algebra.The following problems are studied in these two different settings: 1.If 31 is a covariance algebra, how do we recover A and p? 2. When is an operator algebra St the covariance algebra for some covariant system over a given locally compact group G?"
12,Duality theory for covariant systems,1979,Magnus B. Landstad,Transactions of the American Mathematical Society,"1088-6850, 0002-9947",10.1090/s0002-9947-1979-0522262-6,,10.1090/s0002-9947-1979-0522262-6,fad4b919d2ab28df027775c28d8648b65cf7c690,no_msc_clean,"[-0.0828, 0.0140, 0.0223, -0.0611, -0.0520, -0.0084, 0.0107, 0.0619, ...] dimension=384","<p>
                    If
                    <inline-formula content-type=""math/mathml"">
                      <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""left-parenthesis upper A comma rho comma upper G right-parenthesis"">
                        <mml:semantics>
                          <mml:mrow>
                            <mml:mo stretchy=""false"">(</mml:mo>
                            <mml:mi>A</mml:mi>
                            <mml:mo>,</mml:mo>
                            <mml:mi>
                              ρ
                              
                            </mml:mi>
                            <mml:mo>,</mml:mo>
                            <mml:mi>G</mml:mi>
                            <mml:mo stretchy=""false"">)</mml:mo>
                          </mml:mrow>
                          <mml:annotation encoding=""application/x-tex"">(A,\rho ,G)</mml:annotation>
                        </mml:semantics>
                      </mml:math>
                    </inline-formula>
                    is a covariant system over a locally compact group
                    <italic>G</italic>
                    , i.e.
                    <inline-formula content-type=""math/mathml"">
                      <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""rho"">
                        <mml:semantics>
                          <mml:mi>
                            ρ
                            
                          </mml:mi>
                          <mml:annotation encoding=""application/x-tex"">\rho</mml:annotation>
                        </mml:semantics>
                      </mml:math>
                    </inline-formula>
                    is a homomorphism from
                    <italic>G</italic>
                    into the group of
                    <inline-formula content-type=""math/mathml"">
                      <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""Superscript asterisk"">
 ..."
13,Hopf algebra structures for the Heisenberg algebra. I,1993,"Corwin, L., Gelfand, I. M.","Corwin, L. (ed.) et al., The Gelfand Seminars, 1990-1992. Basel: Birkhäuser. 11-17 (1993).",,,"16W30, 17B37, 16S30",e8fa554cb744f8dda93e281136de7afa93b0bd1b,46ca9d79b31eecd36e27db10510e1e087f293bc7,no_msc_clean,"[-0.0896, -0.0267, -0.0971, 0.0153, -0.1300, 0.0412, 0.0083, -0.0647, ...] dimension=384","Let \(A\) be the universal enveloping algebra (over \(\mathbb{C}\)) of the 3- dimensional Heisenberg algebra; that is, \(A\) is the associative algebra (with unit) generated by elements \(X\), \(Y\), \(Z\), with relations \(XZ= ZX\), \(YZ= ZY\), \(XY- YX= Z\). The authors investigate certain Hopf algebra structures on \(A\) that are compatible with this algebra structure.

For the entire collection see [Zbl 0780.00044]."
14,Koszul resolutions,1970,"Priddy, Stewart B.","Trans. Am. Math. Soc. 152, 39-60 (1970).","1088-6850, 0002-9947",10.2307/1995637,"18G10, 17B56",10.2307/1995637,d2e92cbcce73903f0bc19cf69f592624225677ce,no_msc_clean,"[-0.1138, 0.1096, 0.0105, 0.0240, -0.1103, 0.0336, -0.0933, 0.0038, ...] dimension=384","Resolutions, which generalize the classical Koszul resolutions, are constructed for a large class of augmented algebras including the Steenrod algebra and the universal enveloping algebras. For each such algebra $A$, an explicit differential algebra $\bar K\ast (A)$ is described such that (1) $\bar K^ \ast (A)$ is a small quotient algebra of the cobar complex and (2) the homology of $\bar K^ \ast (A)$ is the cohomology algebra $H ^ \ast (A)$. The resolution of May for restricted Lie algebras in characteristic 2 is retrieved and a simple derivation of the resolution of Kan et al. of the Steenrod algebra is given."
15,Koszul resolutions,1970,Stewart B. Priddy,Transactions of the American Mathematical Society,"1088-6850, 0002-9947",10.1090/s0002-9947-1970-0265437-8,,10.1090/s0002-9947-1970-0265437-8,3d74d55e416cbc45336a5c07adf403558cdea894,no_msc_clean,"[-0.1349, 0.0215, -0.0015, 0.0028, -0.1240, 0.0053, -0.0954, 0.0478, ...] dimension=384","<p>
                    Resolutions, which generalize the classical Koszul resolutions, are constructed for a large class of augmented algebras including the Steenrod algebra and the universal enveloping algebras. For each such algebra
                    <inline-formula content-type=""math/mathml"">
                      <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""upper A"">
                        <mml:semantics>
                          <mml:mi>A</mml:mi>
                          <mml:annotation encoding=""application/x-tex"">A</mml:annotation>
                        </mml:semantics>
                      </mml:math>
                    </inline-formula>
                    , an explicit differential algebra
                    <inline-formula content-type=""math/mathml"">
                      <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""upper K overbar asterisk left-parenthesis upper A right-parenthesis"">
                        <mml:semantics>
                          <mml:mrow>
                            <mml:mrow class=""MJX-TeXAtom-ORD"">
                              <mml:mover>
                                <mml:mi>K</mml:mi>
                                <mml:mo stretchy=""false"">
                                  ¯
                                  
                                </mml:mo>
                              </mml:mover>
                            </mml:mrow>
                            <mml:mo>
                              ∗
                              
                            </mml:mo>
                            <mml:mo stretchy=""false"">(</mml:mo>
                            <mml:mi>A</mml:mi>
                            <mml:mo stretchy=""false"">)</mml:mo>
                          </mml:mrow>
                          <mml:annotation encoding=""application/x-tex"">\bar K\ast (A)</mml:annotation>
                        </mml:semantics>
                      </mml:math>
                  ..."
16,Structure of quasitriangular quasi-Hopf algebras,1992,"Drinfel'd, V. G.","Funct. Anal. Appl. 26, No. 1, 63-65 (1992); translation from Funkts. Anal. Prilozh. 26, No. 1, 78-80 (1992).","0016-2663, 1573-8485",10.1007/bf01077082,"17B37, 16W30",10.1007/bf01077082,ebe335be91d2874cf7a4f756994c7321e064d97b,no_msc_clean,"[-0.1070, -0.0039, -0.0384, 0.0193, -0.0739, -0.0316, 0.0200, -0.0084, ...] dimension=384","A quasi-Hopf algebra differs from a Hopf algebra in a weakened version of the coassociativity. (The definition of this ``weak coassociativity'' is motivated by conformal field theory). As well as the ``classical limit'' of a deformation Hopf algebra is a Lie bialgebra, the ``classical limit'' of a quasi-Hopf algebra over \(\mathbb{C}[[h]]\) which is a deformation of a universal enveloping algebra \(U(g)\), is a quasi-Lie bialgebra structure on the Lie algebra \(g\) [see the author, Algebra Anal. 1, No. 6, 114-148 (1989; Zbl 0718.16033)]. However, if the considered quasi-Hopf algebra is quasitriangular, its ``classical limit'' is better described by a symmetric invariant 2-tensor \(t\) on the Lie algebra \(g\). Let \(g\) be a finite dimensional complex Lie algebra and \(t\) a symmetric invariant 2- tensor. Let \(U\) be the \(h\)-adic completion of the enveloping algebra of \(g\otimes \mathbb{C}[[h]]\). In Algebra Anal. 2, No. 4, 149-181 (1990; Zbl 0728.16021), the author proved: 


{Theorem A:} There exists a quasitriangular quasi-Hopf algebra structure on \(U\), with the usual comultiplication, having \((g, t)\) as its classical limit. The ``weak coassociativity'' is constructed with the help of solutions of the Knizhnik-Zamolodchikov equation. Moreover, 


{Theorem B:} Up to ``gauge transformations'', any quantization of the pair \((g, t)\) is isomorphic to the one described in Theorem A. 


The paper under review provides a simpler proof of Theorem B."
17,Prime Jordan algebras. II,1983,"Zel'manov, E. I.","Sib. Math. J. 24, 73-85 (1983); translation from Sib. Mat. Zh. 24, No. 1(137), 89-104 (1983).","0037-4466, 1573-9260",10.1007/bf00968798,"17C10, 17C20",10.1007/bf00968798,558644110b84211330e7f9cb48b99a0cfab365d4,no_msc_clean,"[-0.0439, -0.0024, -0.0678, -0.0011, -0.0719, 0.0450, -0.0079, 0.0208, ...] dimension=384","[For part I, see Algebra Logic 18, 103-111 (1979); translation from Algebra Logika 18, 162-175 (1979; Zbl 0433.17009).] 


The author proves that a prime nondegenerate Jordan algebra J, over a field containing \(frac{1}{2}\), is either special or an Albert ring. Moreover, one of the following holds: 1) J is an Albert ring. 2) J is a central order in the Jordan algebra of a symmetric bilinear form. 3) J contains a nonzero ideal I isomorphic to the algebra \(A^{(+)}\), where A is a prime associative algebra. The algebra J can be embedded in the two- sided Martindale ring of quotients \(Q_ 0(A)\) of A, i.e., \(A^{(+)}\triangleleft J\subseteq(Q_ 0(A))^{(+)}.\) The ideal I is invariant under automorphisms and derivations of J. 4) J contains a nonzero ideal I isomorphic to the algebra H(A,*), where A is a prime associative algebra with involution *. The algebra J can be embedded in the two-sided Martindale ring of quotients of A, the involution * can be uniquely extended to an involution * of \(Q_ 0(A)\), and \(H(A,*)\triangleleft J\subseteq H(Q_ 0(A),*).\) In particular, since a simple Jordan algebra is known to be nondegenerate, this result implies such an algebra must be isomorphic to one of the four classical examples. 


The article also contains results concerning PI-algebras. For example, a primitive Jordan PI-algebra is simple, and any simple Jordan PI-algebra is either finite-dimensional over its center or isomorphic to the Jordan algebra of a symmetric bilinear form."
18,Restrictions from \(\mathfrak{gl}_{n}\) to \(\mathfrak{sl}_n\),2017,"Jantzen, Jens Carsten","J. Lie Theory 27, No. 4, 969-981 (2017).",0949-5932,10.5802/jolt.977,"17B10, 17B50",10.5802/jolt.977,e8183ce8e1d3d2927303dd27a397825a0e612097,no_msc_clean,"[-0.1120, 0.0178, 0.0086, 0.0536, -0.0372, -0.0346, -0.0100, -0.0649, ...] dimension=384","Summary: Let \(K\) be an algebraically closed field, let \(n\) be a positive integer. Consider the general linear Lie algebra of all \((n\times n)\)-matrices over \(K\) and its subalgebra of all matrices with trace equal to \(0\), the special linear Lie algebra. If the characteristic of \(K\) does not divide \(n\), then the larger Lie algebra is the direct product of the smaller Lie algebra with a one dimensional Lie algebra; in this case each finite dimensional simple module for the general linear Lie algebra restricts to a simple module for the special linear Lie algebra. This is no longer the case when the characteristic of \(K\) divides \(n\); the purpose of this paper is to describe what happens in this situation."
19,"New generalizations of BCI, BCK and Hilbert algebras. I",2016,"Iorgulescu, Afrodita","J. Mult.-Val. Log. Soft Comput. 27, No. 4, 353-406 (2016).",,,06F35,edc3fa89c56a6ebef326219bcd70c01d52d84bd1,ae1660c4e721466b61e5e042efb625b6bbffd8ee,no_msc_clean,"[-0.0652, 0.0080, 0.0048, -0.0503, -0.1156, -0.0027, 0.0401, -0.0135, ...] dimension=384","Summary: Hilbert algebras are particular cases of BCK algebras, while BCK algebras are particular cases of BCI algebras. In Part I, starting with a list of properties of BCK algebras and with the algebras BCH, BCC, BZ, BE, pre-BCK, old generalizations of BCI algebras or of BCK algebras, we introduce new generalizations of BCI or of BCK algebras and, consequently, new generalizations of Hilbert algebras. Namely, we found thirty one new distinct generalizations of BCI or of BCK algebras and twenty new distinct generalizations of Hilbert algebras. We show the hierarchies existing between all these algebras, old or new ones.

In Part II, we present 83 examples of proper finite algebras, at least one example of each of the 59 (= 7 (old) + 1 (Hilbert) + 31 + 20) old or new algebras."
20,Combinatorial Hopf algebras.,2010,"Loday, Jean-Louis, Ronco, María","Blanchard, Etienne (ed.) et al., Quanta of maths. Conference on non commutative geometry in honor of Alain Connes, Paris, France, March 29--April 6, 2007. Providence, RI: American Mathematical Society (AMS); Cambridge, MA: Clay Mathematics Institute (ISBN 978-0-8218-5203-3/pbk). Clay Mathematics Proceedings 11, 347-383 (2010).",,,"16T30, 18D50",4a9df8dba6fc636b483e868048926534e82f01bd,018492e1f22fb61e4232f6e671d08ca7c282700e,no_msc_clean,"[-0.0549, -0.0215, -0.0224, 0.0019, -0.0343, 0.0478, 0.0376, -0.0215, ...] dimension=384","Summary: We define a ``combinatorial Hopf algebra'' as a Hopf algebra which is free (or cofree) and equipped with a given isomorphism to the free algebra over the indecomposables (resp. the cofree coalgebra over the primitives). We show that the choice of such an isomorphism implies the existence of a finer algebraic structure on the Hopf algebra and on the indecomposables (resp. the primitives). For instance a cofree-cocommutative right-sided combinatorial Hopf algebra is completely determined by its primitive part which is a pre-Lie algebra. The key example is the Connes-Kreimer Hopf algebra. The study of all these combinatorial Hopf algebra types gives rise to several good triples of operads. It involves the operads: dendriform, pre-Lie, brace, and variations of them.

For the entire collection see [Zbl 1206.00042]."
21,A quotient of the affine Hecke algebra in the Brauer algebra,1994,"Jones, V. F. R.","Enseign. Math., II. Sér. 40, No. 3-4, 313-344 (1994).",,,"20G05, 16P10, 20C30, 16W30",1340d93799b265b829246f6cb2ce5e54ec703b97,7ea9648a4cd13bac8bfb4c64974a31fb3709d15f,no_msc_clean,"[-0.0443, 0.0022, -0.0443, 0.0192, -0.0743, 0.0694, 0.0416, 0.0632, ...] dimension=384","Summary: The structure of a certain subalgebra of Brauer's centralizer algebra is given for all values of the parameter for which it is semisimple. The algebra admits a trace functional whose weights on the simple components of the algebra are calculated. The algebra may be exhibited as a quotient of the affine Hecke algebra of type \(\widetilde A_n\), using generators and relations."
22,Algebras of unbounded functions and operators,1986,"Kadison, Richard V.","Expo. Math. 4, 3-33 (1986).",,,"47L60, 46L10, 46A40",8cccc4cf3ec726eab61d1d6c8f91069380b48b39,9b765857dd302c7e59eaf0b063f07090fbca5361,no_msc_clean,"[-0.0629, 0.0265, -0.0185, 0.0602, -0.0721, 0.0514, 0.0043, -0.0543, ...] dimension=384","The paper under review gives a detailed and deepgoing analysis of the techniques that go into the spectral theorem for unbounded normal operators. The frame is an algebra of unbounded continuous functions on an extremely disconnected compact space that are allowed to assume the value \(\infty\). In the operator context such an algebra describes the operators affiliated with an abelian von Neumann algebra. The author discusses spectral resolution in such an algebra, the special case corresponding to an abelian von Neumann algebra, and a characterization of such an algebra (of real or \(\infty\)-valued function) as a vector lattice satisfying certain conditions."
